OBJECTID,CT2010,TOTHHS,CV_HHS,PCT_BA,CV_BA,PCT_FB,CV_FB,PCTENGL_LT,CV_ENGL_LT,PCTSPANENG,CV_SPAN_EN,PCTUMPLD,CV_UMPLD,MEDHHINC,CV_MEDINC,PCTSNAP,CV_SNAP,PCTNOHLTH,CV_NOHLTH,PCTFAMRELC,CV_POPFAMC,POV_POP,CV_POVPOP,PERLT18_PO,CV_PERLT18,POV_65UP,CV_POV65UP,REPORT_1,REPORT_2,REPORT_3,REPORT_4,XLS_1,XLS_2,XLS_3,XLS_4
11,24017850400,1217,5.494602,14.6,20.818587,1.1,44.211108,0.4,91.18541,0,-999,14.7,18.195728,80972,10.255337,10.4,30.395137,9.6,25.962513,5.2,80.664017,9.2,29.073609,12.9,49.480455,9.2,46.914233,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017850400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017850400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017850400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017850400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017850400.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017850400.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017850400.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017850400.xlsx
12,24011955600,1736,4.552267,10.5,17.947605,3.1,47.063438,2.1,43.421624,0,-999,13.6,20.561416,37090,11.740111,31.7,11.314278,14.4,16.464032,39.6,17.960763,27.8,14.213553,42.2,17.142281,13.1,25.522634,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24011955600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24011955600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24011955600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24011955600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24011955600.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24011955600.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24011955600.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24011955600.xlsx
13,24011955000,1098,5.370361,5.7,23.462913,21.8,13.10616,23.9,17.55033,23,17.444165,10.8,27.017899,49583,10.570836,16.1,25.675395,28.3,10.310718,32.8,27.059085,26.5,17.434192,38.4,24.696049,6.3,55.000724,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24011955000.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24011955000.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24011955000.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24011955000.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24011955000.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24011955000.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24011955000.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24011955000.xlsx
14,24011955100,2092,3.806657,15.2,14.797632,0.3,101.317123,0.4,91.18541,0.4,91.18541,11.3,17.214945,62255,6.246492,11.5,20.087221,8.8,17.960763,7.6,31.195009,7.5,23.505572,7.8,31.953862,12.1,32.153533,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24011955100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24011955100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24011955100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24011955100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24011955100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24011955100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24011955100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24011955100.xlsx
15,24011955500,1494,3.946892,21.8,11.433033,1.6,56.990881,1.7,53.638477,1.1,71.843051,7.9,25.393405,60931,4.363898,11.8,22.66756,12.2,17.938114,11.7,44.683449,13.7,21.742507,13.4,38.560994,4,63.829787,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24011955500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24011955500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24011955500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24011955500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24011955500.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24011955500.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24011955500.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24011955500.xlsx
16,24011955400,835,4.80498,11.9,24.009604,2.1,57.895499,0.1,182.370821,0,-999,12.9,21.677152,71458,19.648926,8.9,33.468802,18.4,22.796353,12.4,64.712227,10.8,36.586739,10.6,65.951712,5.8,70.223247,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24011955400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24011955400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24011955400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24011955400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24011955400.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24011955400.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24011955400.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24011955400.xlsx
17,24011955301,1253,7.956588,17.6,20.378558,1.4,56.448111,0,-999,0,-999,7,34.737299,70272,3.997493,3,66.869301,8.8,29.704338,3.3,97.632864,4.7,51.736403,1.9,99.184131,4.5,70.246538,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24011955301.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24011955301.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24011955301.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24011955301.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24011955301.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24011955301.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24011955301.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24011955301.xlsx
18,24011955202,821,6.738021,27.8,15.962914,1,54.711246,1.7,67.94207,1.3,84.171148,4.5,45.930429,61553,11.023687,15,36.474164,6.4,28.495441,8.4,73.093067,9.1,39.413474,6.8,75.987842,11,62.44819,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24011955202.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24011955202.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24011955202.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24011955202.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24011955202.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24011955202.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24011955202.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24011955202.xlsx
19,24011955302,1142,8.3041,15.7,19.747159,5.1,56.022409,4.1,59.307584,3.1,78.439063,11.7,31.694074,46786,39.858129,19.1,20.369516,14,25.618758,22.9,35.306141,16.1,27.185712,23.8,39.334883,12.3,51.399906,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24011955302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24011955302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24011955302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24011955302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24011955302.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24011955302.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24011955302.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24011955302.xlsx
20,24011955201,1335,3.916078,11.3,20.980714,1.9,38.393857,1.6,45.592705,1.6,45.592705,11.4,22.929665,63054,6.086355,14,20.84238,9.4,20.047856,14.9,40.798841,12.6,29.912674,23.2,37.993921,10.1,48.752596,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24011955201.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24011955201.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24011955201.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24011955201.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24011955201.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24011955201.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24011955201.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24011955201.xlsx
21,24017851200,1778,4.615684,18.8,14.227511,4,42.553191,2,54.711246,0,-999,6.2,32.356113,73621,13.816759,6.2,29.414648,9.1,18.7047,11,46.421663,9.6,27.228977,14.7,50.865331,8.9,49.178648,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017851200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017851200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017851200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017851200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017851200.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017851200.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017851200.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017851200.xlsx
22,24017850904,1897,3.749321,44.2,8.527142,5.7,23.462913,1.4,47.763786,0,-999,5.4,28.143645,110264,5.09967,2.4,58.257345,3.3,27.631943,1.4,108.55406,3.2,37.993921,1.7,107.276953,10.7,85.22001,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017850904.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017850904.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017850904.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017850904.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017850904.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017850904.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017850904.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017850904.xlsx
23,24017850901,2341,2.363056,16.6,18.67653,4.9,33.496681,1.9,54.391297,0,-999,9.3,24.839037,43117,8.694798,27.6,13.435531,7.3,23.316817,23.3,21.654904,16.9,18.7047,22.2,24.918536,17.2,40.64466,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017850901.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017850901.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017850901.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017850901.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017850901.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017850901.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017850901.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017850901.xlsx
24,24017850902,1743,3.836449,16.6,14.282052,14.4,21.952043,7,33.000434,5.3,41.291507,6.1,26.90717,84063,8.387833,12.4,22.551231,15.1,20.934399,8.1,52.534804,12.1,28.63674,10.9,57.44402,18,47.956771,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017850902.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017850902.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017850902.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017850902.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017850902.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017850902.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017850902.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017850902.xlsx
25,24017851001,1022,5.234388,26.9,15.81903,2.3,34.35972,0.7,43.421624,0.7,43.421624,4.4,46.974302,95536,8.060107,2.2,71.843051,5.5,53.05333,5,96.048632,5,49.848024,9.6,69.655522,6.1,68.762768,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017851001.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017851001.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017851001.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017851001.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017851001.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017851001.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017851001.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017851001.xlsx
26,24017850906,1874,5.06045,18.7,20.480146,2.6,37.409399,0.5,72.948328,0.2,91.18541,11.1,21.358745,60878,17.008455,23.2,19.914055,7.6,30.395137,29.6,30.395137,20.3,27.849731,37.4,28.119565,19.3,34.647306,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017850906.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017850906.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017850906.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017850906.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017850906.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017850906.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017850906.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017850906.xlsx
